Phoebe	A C E F
Philon	F C D ! A B E 
Arete	A B C E F D
Aspasia	A B E F
Selene	F D A B C ! E 
Telemachus	A C D B E F
Agamemnon	B C E F D A
Hesiod	A B C
Crino	A ! B 
Tethys	B E F D A C
Antigone	A B C
Hippocrates	C B A F
Eucratides	A C B D
Glaucus	A C E F B D
Ariadne	A B E F D C
Socrates	A C F E
Coön	A B E F C D
Andromeda	A B C D F
Aristides	E F C A D ! B 
Urania	A C E F
Thraso	A B C
Andromache	B A C
Ino	B A C F E D
Seleucus	E A B C F D
Antiochus	C ! A B D E F 
Eurydice	A B C F E D
Pandora	D E F B A C
Pindar	B E F D C ! A 
Daphne	B C E
Hippolyta	A B C F E D
Neoptolemus	A D F C ! B E 
Icarus	B C F E D A
Priam	B C E F D
Thetis	A C E F D
Polybios	A B C E F D
Eurymachus	B C A
Callirrhoe	A B E F D C
Artemis	F E B C D A
Solon	C B A F E D
Polybus	A C E F D ! B 
Amyntas	A B C
Diomedes	F E D B
Ion	A B C F E D
Nicanor	A C E F
Rhea	B C F E G D A
Alcibiades	A B E F
Themistocles	E F A D
Androcles	B C A E F D
Daedalus	A E F D C ! B 
Homer	A
Chryses	B C D E F
Ptolemy	F E D C A B
Aeneas	A B C E F D
Danaë	A F E D C B
Alcman	A B C E F D
Jason	A B C D E F
Cleanthes	B A C E
Ismene	C B ! A D E F 
Phidias	C B A F E D
Nicodemus	F E B C D A
Leonidas	F E D C
Pausanias	B C D
Metrodorus	A
